2012-09-11 05:11:05 install gzip <none> 1.3.12-9ubuntu1.1
2012-09-11 05:11:05 status half-installed gzip 1.3.12-9ubuntu1.1
2012-09-11 05:11:05 status unpacked gzip 1.3.12-9ubuntu1.1
2012-09-11 05:11:05 status unpacked gzip 1.3.12-9ubuntu1.1
2012-09-11 05:11:05 install hostname <none> 3.06ubuntu1
2012-09-11 05:11:05 status half-installed hostname 3.06ubuntu1
2012-09-11 05:11:05 status unpacked hostname 3.06ubuntu1
2012-09-11 05:11:05 status unpacked hostname 3.06ubuntu1
2012-09-11 05:11:05 install ifupdown <none> 0.7~alpha5.1ubuntu5
2012-09-11 05:11:05 status half-installed ifupdown 0.7~alpha5.1ubuntu5
2012-09-11 05:11:05 status unpacked ifupdown 0.7~alpha5.1ubuntu5
2012-09-11 05:11:05 status unpacked ifupdown 0.7~alpha5.1ubuntu5
2012-09-11 05:11:05 install initramfs-tools <none> 0.99ubuntu7
2012-09-11 05:11:05 status half-installed initramfs-tools 0.99ubuntu7
2012-09-11 05:11:05 status unpacked initramfs-tools 0.99ubuntu7
2012-09-11 05:11:05 status unpacked initramfs-tools 0.99ubuntu7
2012-09-11 05:11:05 install initramfs-tools-bin <none> 0.99ubuntu7
2012-09-11 05:11:05 status half-installed initramfs-tools-bin 0.99ubuntu7
2012-09-11 05:11:05 status unpacked initramfs-tools-bin 0.99ubuntu7
2012-09-11 05:11:05 status unpacked initramfs-tools-bin 0.99ubuntu7
2012-09-11 05:11:05 install initscripts <none> 2.88dsf-13.10ubuntu4
2012-09-11 05:11:05 status half-installed initscripts 2.88dsf-13.10ubuntu4
2012-09-11 05:11:05 status unpacked initscripts 2.88dsf-13.10ubuntu4
2012-09-11 05:11:05 status unpacked initscripts 2.88dsf-13.10ubuntu4
2012-09-11 05:11:05 install insserv <none> 1.14.0-2.1
2012-09-11 05:11:05 status half-installed insserv 1.14.0-2.1
2012-09-11 05:11:05 status unpacked insserv 1.14.0-2.1
2012-09-11 05:11:05 status unpacked insserv 1.14.0-2.1
2012-09-11 05:11:05 install iproute <none> 20110315-1build1
2012-09-11 05:11:05 status half-installed iproute 20110315-1build1
2012-09-11 05:11:05 status unpacked iproute 20110315-1build1
2012-09-11 05:11:05 status unpacked iproute 20110315-1build1
2012-09-11 05:11:05 install klibc-utils <none> 1.5.22-1ubuntu2
2012-09-11 05:11:05 status half-installed klibc-utils 1.5.22-1ubuntu2
2012-09-11 05:11:05 status unpacked klibc-utils 1.5.22-1ubuntu2
2012-09-11 05:11:05 status unpacked klibc-utils 1.5.22-1ubuntu2
2012-09-11 05:11:05 install libacl1 <none> 2.2.51-3
2012-09-11 05:11:05 status half-installed libacl1 2.2.51-3
2012-09-11 05:11:05 status unpacked libacl1 2.2.51-3
2012-09-11 05:11:05 status unpacked libacl1 2.2.51-3
2012-09-11 05:11:05 install libattr1 <none> 1:2.4.46-3
2012-09-11 05:11:05 status half-installed libattr1 1:2.4.46-3
2012-09-11 05:11:05 status unpacked libattr1 1:2.4.46-3
2012-09-11 05:11:05 status unpacked libattr1 1:2.4.46-3
2012-09-11 05:11:05 install libblkid1 <none> 2.19.1-2ubuntu3
2012-09-11 05:11:05 status half-installed libblkid1 2.19.1-2ubuntu3
2012-09-11 05:11:05 status unpacked libblkid1 2.19.1-2ubuntu3
2012-09-11 05:11:05 status unpacked libblkid1 2.19.1-2ubuntu3
2012-09-11 05:11:05 install libbz2-1.0 <none> 1.0.5-6ubuntu1
2012-09-11 05:11:05 status half-installed libbz2-1.0 1.0.5-6ubuntu1
